event_id,m_gg
1,123.43539669988327
10,124.51095778196672
17,120.70494354718957
25,116.49500189047524
38,124.22851446488953
49,126.32726796896942
50,122.49915782603635
55,124.5025153257374
58,128.71019213767454
64,128.06648156555968
65,127.27403120694746
68,124.33585359432253
75,127.06477898467084
79,126.55224179430321
81,125.12761533405238
82,121.02880704021459
87,125.14158357151473
96,122.02171710438654
102,123.39156313802646
103,127.2807698699693
106,120.99850717816827
107,125.10636566066256
110,122.95588659653423
121,124.38604001826423
124,125.07901834345635
127,121.33934776110954
132,122.31454839938226
139,122.28846607685449
144,125.9126876502379
150,122.17385203339518
152,125.00034555586028
158,129.35301837785462
162,127.64846513575765
166,126.11442494078531
168,122.9762160959623
173,124.70324439848625
176,124.45324282566973
182,130.6562783014137
184,125.24611019898947
189,128.8775794806926
195,125.70981419911844
205,125.01247030976907
213,123.52829182538187
218,126.7210392001892
220,127.34165921590846
222,125.53265359579287
224,127.51212198614034
225,121.44410625842413
228,124.85730853281666
230,138.1233187944794
237,129.7938165402481
243,126.34536022631593
244,127.46467628165543
252,130.89098474400797
254,127.91684650872459
262,125.88070161986543
265,127.50307223915894
273,124.60847442512734
274,124.19291092862085
285,125.92190029332855
286,125.06210177858884
287,131.3739630470521
288,122.90001876734287
289,127.90830507283654
290,127.33901527745532
295,126.41810009543647
300,120.62229801607992
