experiment,n_features,val_auc,test_auc,val_fake95,test_fake95,val_fake97,test_fake97,val_fake99,test_fake99,dropped_features,model,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree
full_plus_ratios,28,0.904737780659804,0.9011413518591636,0.2225986868768744,0.2381431693265346,0.291886195995785,0.2892570028474935,0.427776606954689,0.4859943050129131,,,,,,,,
no_ratio_features,24,0.9044874057971708,0.9004493514439196,0.2196644240901353,0.2441030395338057,0.2890524438680392,0.282905767829945,0.4266839588230526,0.4431494603006423,"iso_ratio,core_iso_ratio,maxpt_over_objpt,core_frac",,,,,,,
no_obj_kinematics_noweight,20,0.9027025455416896,0.8980652181045052,0.2367674475156034,0.2512217733924905,0.3080975926076031,0.2869942387921328,0.4186593175002026,0.4673862658102112,"obj_pt,obj_eta,obj_phi,obj_e,iso_ratio,core_iso_ratio,maxpt_over_objpt,core_frac",,,,,,,
tree_hgb_baseline,24,0.9081971880068004,0.9048764766880288,0.2225338412904271,0.2209125223495132,0.2873956391343112,0.2679425203628897,0.4302537083569746,0.4875478445136073,"iso_ratio,core_iso_ratio,maxpt_over_objpt,core_frac",HistGradientBoostingClassifier,,,,,,
xgboost_baseline,24,0.9049730739482235,0.9028355394463983,0.22428467212450354,0.22015760545659227,0.3179054875577531,0.27097543209059005,0.47126529950555196,0.46864446063174625,"iso_ratio,core_iso_ratio,maxpt_over_objpt,core_frac",XGBClassifier,500.0,0.05,6.0,5.0,0.8,0.8
