fpr,tpr
0.0,0.0
0.007881614926813576,0.04154002026342452
0.00804246421103426,0.04660587639311044
0.008203313495254947,0.04964539007092199
0.008364162779475631,0.08713272543059777
0.008525012063696316,0.09321175278622088
0.008685861347917002,0.0972644376899696
0.008846710632137687,0.10435663627152988
0.009007559916358373,0.13069908814589665
0.009168409200579057,0.1337386018237082
0.009329258484799742,0.1347517730496454
0.009490107769020428,0.14184397163120568
0.009650957053241113,0.1540020263424519
0.009811806337461799,0.18439716312056736
0.009972655621682484,0.18439716312056736
0.010133504905903168,0.18541033434650456
0.010294354190123855,0.19148936170212766
0.010455203474344539,0.19756838905775076
0.010616052758565224,0.2006079027355623
0.01077690204278591,0.20567375886524822
0.010937751327006594,0.21479229989868287
0.01109860061122728,0.22695035460992907
0.011259449895447965,0.22796352583586627
0.01142029917966865,0.24113475177304963
0.011581148463889336,0.24214792299898683
0.01174199774811002,0.24620060790273557
0.011902847032330707,0.24620060790273557
0.012063696316551391,0.2502532928064843
0.012224545600772076,0.25227963525835867
0.012385394884992762,0.25329280648429586
0.012546244169213447,0.2563323201621074
0.012707093453434131,0.25835866261398177
0.012867942737654818,0.2634245187436677
0.013028792021875502,0.2634245187436677
0.013189641306096189,0.2765957446808511
0.013350490590316873,0.2765957446808511
0.013511339874537558,0.2786220871327254
0.013672189158758244,0.2786220871327254
0.013833038442978928,0.2806484295845998
0.013993887727199615,0.2806484295845998
0.0141547370114203,0.292806484295846
0.014315586295640984,0.29584599797365757
0.01447643557986167,0.29584599797365757
0.014637284864082355,0.2988855116514691
0.01479813414830304,0.2998986828774063
0.014958983432523726,0.3009118541033435
0.01511983271674441,0.30192502532928067
0.015280682000965096,0.3029381965552178
0.015441531285185781,0.3049645390070922
0.015602380569406465,0.3049645390070922
0.01576322985362715,0.3049645390070922
0.015924079137847838,0.3049645390070922
0.01608492842206852,0.3049645390070922
0.016245777706289207,0.3049645390070922
0.016406626990509893,0.3049645390070922
0.016567476274730576,0.3069908814589666
0.016728325558951262,0.3080040526849038
0.01688917484317195,0.3100303951367781
0.01705002412739263,0.3130699088145897
0.017210873411613318,0.3130699088145897
0.017371722695834004,0.3130699088145897
0.01753257198005469,0.3130699088145897
0.017693421264275373,0.3130699088145897
0.01785427054849606,0.3130699088145897
0.018015119832716746,0.3191489361702128
0.01817596911693743,0.3191489361702128
0.018336818401158115,0.3211752786220871
0.0184976676853788,0.3232016210739615
0.018658516969599484,0.3323201621073962
0.01881936625382017,0.3323201621073962
0.018980215538040857,0.3323201621073962
0.01914106482226154,0.3323201621073962
0.019301914106482226,0.3323201621073962
0.019462763390702912,0.3383991894630192
0.019623612674923598,0.3404255319148936
0.01978446195914428,0.342451874366768
0.019945311243364967,0.342451874366768
0.020106160527585654,0.3434650455927052
0.020267009811806336,0.3454913880445795
0.020427859096027023,0.3465045592705167
0.02058870838024771,0.3465045592705167
0.020749557664468392,0.3465045592705167
0.020910406948689078,0.3576494427558257
0.021071256232909764,0.3586626139817629
0.021232105517130447,0.3606889564336373
0.021392954801351134,0.3617021276595745
0.02155380408557182,0.36271529888551163
0.021714653369792506,0.3657548125633232
0.02187550265401319,0.3667679837892604
0.022036351938233875,0.36879432624113473
0.02219720122245456,0.3708206686930091
0.022358050506675244,0.3728470111448835
0.02251889979089593,0.3799392097264438
0.022679749075116617,0.3799392097264438
0.0228405983593373,0.3839918946301925
0.023001447643557986,0.3850050658561297
0.023162296927778672,0.39209726443769
0.023323146211999355,0.3941236068895643
0.02348399549622004,0.3961499493414387
0.023644844780440728,0.3981762917933131
0.023805694064661414,0.4002026342451874
0.023966543348882097,0.4002026342451874
0.024127392633102783,0.4022289766970618
0.02428824191732347,0.403242147922999
0.024449091201544152,0.40425531914893614
0.02460994048576484,0.40628166160081053
0.024770789769985525,0.4083080040526849
0.024931639054206207,0.41134751773049644
0.025092488338426894,0.41134751773049644
0.02525333762264758,0.41236068895643363
0.025414186906868263,0.41236068895643363
0.02557503619108895,0.41236068895643363
0.025735885475309635,0.41843971631205673
0.02589673475953032,0.41843971631205673
0.026057584043751005,0.4194528875379939
0.02621843332797169,0.4204660587639311
0.026379282612192377,0.42958459979736574
0.02654013189641306,0.4326241134751773
0.026700981180633746,0.43566362715298884
0.026861830464854432,0.43667679837892603
0.027022679749075115,0.44072948328267475
0.0271835290332958,0.44275582573454914
0.027344378317516488,0.44275582573454914
0.02750522760173717,0.4447821681864235
0.027666076885957857,0.4447821681864235
0.027826926170178543,0.4447821681864235
0.02798777545439923,0.4447821681864235
0.028148624738619912,0.44782168186423504
0.0283094740228406,0.44883485309017224
0.028470323307061285,0.4518743667679838
0.028631172591281968,0.45491388044579534
0.028792021875502654,0.4630192502532928
0.02895287115972334,0.46403242147923
0.029113720443944023,0.46504559270516715
0.02927456972816471,0.46504559270516715
0.029435419012385396,0.46808510638297873
0.02959626829660608,0.4690982776089159
0.029757117580826765,0.47011144883485306
0.02991796686504745,0.47416413373860183
0.030078816149268137,0.47922998986828774
0.03023966543348882,0.48024316109422494
0.030400514717709506,0.48632218844984804
0.030561364001930193,0.48632218844984804
0.030722213286150876,0.48632218844984804
0.030883062570371562,0.48632218844984804
0.031043911854592248,0.48733535967578523
0.03120476113881293,0.48834853090172237
0.03136561042303362,0.49138804457953394
0.0315264597072543,0.49138804457953394
0.03168730899147499,0.49645390070921985
0.031848158275695676,0.49645390070921985
0.032009007559916355,0.49645390070921985
0.03216985684413704,0.49746707193515705
0.03233070612835773,0.49746707193515705
0.032491555412578414,0.502532928064843
0.0326524046967991,0.5035460992907801
0.03281325398101979,0.5055724417426545
