model,base_val_auc_for_permutation,n_features,training_time_total_s,permutation_time_total_s
XGBoost,0.9081081356662996,38,8.865066999998817,5.0743068999945535
HistGradientBoosting,0.9089004978280848,38,7.357138799998211,27.115714899999148
Neural network,0.9051511956700243,38,51.37796619999426,26.56992999999784
