ntracks_iso,ntracks_total,frac_kept
5,1671,0.002992220227408737
3,1671,0.0017953321364452424
6,2073,0.002894356005788712
3,1461,0.002053388090349076
4,961,0.004162330905306972
2,1726,0.0011587485515643105
3,1561,0.0019218449711723255
5,1673,0.002988643156007173
1,1738,0.0005753739930955121
1,1159,0.0008628127696289905
1,1159,0.0008628127696289905
6,2161,0.002776492364645997
4,1468,0.0027247956403269754
3,1408,0.002130681818181818
1,951,0.0010515247108307045
3,951,0.0031545741324921135
4,2375,0.0016842105263157896
4,1480,0.002702702702702703
11,2095,0.005250596658711217
3,1645,0.00182370820668693
2,1623,0.0012322858903265558
7,1243,0.0056315366049879325
3,1243,0.002413515687851971
2,1323,0.0015117157974300832
4,1710,0.0023391812865497076
7,1638,0.004273504273504274
2,1391,0.0014378145219266715
8,1323,0.006046863189720333
1,1858,0.0005382131324004305
3,1667,0.001799640071985603
4,1165,0.0034334763948497852
3,1165,0.002575107296137339
2,1534,0.001303780964797914
2,1404,0.0014245014245014246
2,2337,0.0008557980316645272
7,1887,0.0037095919448860626
5,1614,0.0030978934324659233
8,1895,0.004221635883905013
7,2027,0.003453379378391712
3,1489,0.0020147750167897917
3,1521,0.0019723865877712033
2,1521,0.0013149243918474688
8,1392,0.005747126436781609
2,1392,0.0014367816091954023
2,1040,0.0019230769230769232
7,1895,0.0036939313984168864
8,1761,0.004542873367404884
4,1689,0.002368265245707519
6,1689,0.003552397868561279
5,867,0.0057670126874279125
4,1649,0.002425712553062462
3,1649,0.0018192844147968466
3,1129,0.002657218777679362
2,1992,0.001004016064257028
3,1657,0.0018105009052504525
5,1216,0.004111842105263158
2,1216,0.001644736842105263
3,2023,0.0014829461196243204
5,2023,0.002471576866040534
3,1617,0.0018552875695732839
2,1127,0.001774622892635315
4,1398,0.002861230329041488
3,1398,0.002145922746781116
1,1129,0.0008857395925597874
1,1502,0.0006657789613848203
2,1706,0.0011723329425556857
6,1706,0.0035169988276670576
2,931,0.0021482277121374865
2,1457,0.0013726835964310226
6,1457,0.004118050789293068
4,1457,0.002745367192862045
3,1549,0.001936733376371853
2,1844,0.0010845986984815619
3,1844,0.0016268980477223427
2,1481,0.0013504388926401081
2,1481,0.0013504388926401081
1,1290,0.0007751937984496124
2,1457,0.0013726835964310226
1,1486,0.0006729475100942127
5,1512,0.0033068783068783067
8,1727,0.004632310364794441
3,1727,0.0017371163867979154
2,1439,0.001389854065323141
3,1720,0.0017441860465116279
0,1666,0.0
3,1791,0.0016750418760469012
3,1844,0.0016268980477223427
2,1428,0.0014005602240896359
4,1487,0.0026899798251513113
7,1487,0.004707464694014795
8,1545,0.005177993527508091
7,1866,0.0037513397642015005
3,1638,0.0018315018315018315
7,1623,0.004313000616142945
3,1927,0.0015568240788790867
8,1927,0.0041515308770108976
4,2028,0.0019723865877712033
6,2028,0.0029585798816568047
4,1867,0.0021424745581146223
2,1595,0.0012539184952978057
1,1595,0.0006269592476489029
1,1430,0.0006993006993006993
2,1430,0.0013986013986013986
10,1426,0.0070126227208976155
2,1623,0.0012322858903265558
6,1623,0.0036968576709796672
4,1475,0.002711864406779661
1,1870,0.0005347593582887701
4,1816,0.0022026431718061676
1,1664,0.0006009615384615385
5,1762,0.0028376844494892167
2,1507,0.0013271400132714001
2,994,0.002012072434607646
4,1358,0.0029455081001472753
2,1358,0.0014727540500736377
7,1632,0.00428921568627451
3,1632,0.001838235294117647
4,1533,0.002609262883235486
7,1568,0.004464285714285714
5,1568,0.0031887755102040817
5,1826,0.002738225629791895
4,2086,0.0019175455417066154
3,2023,0.0014829461196243204
3,1925,0.0015584415584415584
4,1925,0.002077922077922078
1,1090,0.0009174311926605505
1,1778,0.0005624296962879641
4,1801,0.002220988339811216
3,1488,0.0020161290322580645
3,1488,0.0020161290322580645
1,1705,0.0005865102639296188
4,1970,0.0020304568527918783
3,1491,0.002012072434607646
3,1491,0.002012072434607646
6,1595,0.003761755485893417
4,2043,0.0019579050416054823
5,1648,0.003033980582524272
4,1619,0.0024706609017912293
2,1407,0.0014214641080312722
1,1407,0.0007107320540156361
0,1306,0.0
4,1345,0.002973977695167286
4,1345,0.002973977695167286
6,1537,0.003903708523096942
3,1625,0.0018461538461538461
8,1840,0.004347826086956522
6,1840,0.003260869565217391
7,1311,0.005339435545385202
2,1127,0.001774622892635315
2,768,0.0026041666666666665
3,1294,0.00231839258114374
6,1294,0.00463678516228748
3,1735,0.001729106628242075
3,1842,0.0016286644951140066
5,1031,0.004849660523763337
4,1031,0.0038797284190106693
2,1267,0.0015785319652722968
6,2042,0.002938295788442703
3,2042,0.0014691478942213516
1,1834,0.0005452562704471102
2,1490,0.0013422818791946308
5,1575,0.0031746031746031746
5,1575,0.0031746031746031746
5,1517,0.0032959789057350032
1,1363,0.0007336757153338225
4,1877,0.002131060202450719
4,1877,0.002131060202450719
2,1782,0.001122334455667789
3,1967,0.001525165226232842
0,1557,0.0
2,1590,0.0012578616352201257
6,1836,0.0032679738562091504
3,1836,0.0016339869281045752
4,1185,0.0033755274261603376
1,1185,0.0008438818565400844
7,1456,0.004807692307692308
5,1737,0.0028785261945883708
2,1568,0.0012755102040816326
3,1568,0.001913265306122449
3,969,0.0030959752321981426
0,1494,0.0
2,1036,0.0019305019305019305
2,1494,0.0013386880856760374
3,1797,0.001669449081803005
6,1797,0.00333889816360601
7,1685,0.004154302670623145
5,1271,0.003933910306845004
5,1233,0.0040551500405515
2,1521,0.0013149243918474688
3,1417,0.002117148906139732
0,1136,0.0
3,1136,0.002640845070422535
1,1537,0.0006506180871828237
8,1670,0.004790419161676647
3,1859,0.0016137708445400753
0,1670,0.0
5,1574,0.0031766200762388818
3,1533,0.0019569471624266144
5,1663,0.003006614552014432
2,1663,0.0012026458208057728
4,1976,0.0020242914979757085
3,1229,0.0024410089503661514
1,1197,0.000835421888053467
6,1197,0.005012531328320802
5,1576,0.0031725888324873096
5,1720,0.0029069767441860465
4,1720,0.002325581395348837
1,1361,0.0007347538574577516
8,1866,0.004287245444801715
4,1866,0.0021436227224008574
7,1382,0.005065123010130246
5,2442,0.0020475020475020475
6,2442,0.002457002457002457
5,1965,0.002544529262086514
5,1965,0.002544529262086514
2,1565,0.0012779552715654952
4,1317,0.0030372057706909645
6,1693,0.0035440047253396337
7,1693,0.004134672179562906
7,1407,0.004975124378109453
4,2030,0.0019704433497536944
6,2030,0.002955665024630542
5,1593,0.003138731952291274
1,1386,0.0007215007215007215
3,1960,0.001530612244897959
4,1842,0.002171552660152009
3,1048,0.0028625954198473282
1,1406,0.0007112375533428165
4,1406,0.002844950213371266
3,1789,0.0016769144773616546
3,1998,0.0015015015015015015
3,1998,0.0015015015015015015
6,1626,0.0036900369003690036
4,1626,0.0024600246002460025
7,1493,0.004688546550569324
6,1972,0.0030425963488843813
2,1972,0.0010141987829614604
1,1535,0.0006514657980456026
5,1559,0.003207184092366902
6,1559,0.003848620910840282
4,1875,0.0021333333333333334
2,1810,0.0011049723756906078
2,1453,0.0013764624913971094
3,1278,0.002347417840375587
2,1692,0.001182033096926714
2,1631,0.001226241569589209
1,1631,0.0006131207847946045
5,1684,0.0029691211401425177
6,1683,0.0035650623885918
4,1683,0.0023767082590612004
4,1495,0.0026755852842809363
5,1356,0.003687315634218289
7,1642,0.004263093788063338
5,1005,0.004975124378109453
4,1281,0.00312256049960968
5,1396,0.0035816618911174787
2,1396,0.0014326647564469914
5,1668,0.002997601918465228
3,1668,0.0017985611510791368
1,1745,0.0005730659025787965
3,1674,0.0017921146953405018
4,1614,0.0024783147459727386
5,1445,0.0034602076124567475
1,1097,0.0009115770282588879
4,1362,0.002936857562408223
7,1326,0.005279034690799397
5,1495,0.0033444816053511705
3,1495,0.002006688963210702
9,1649,0.005457853244390539
5,1649,0.0030321406913280777
9,1668,0.00539568345323741
1,1668,0.0005995203836930455
2,1745,0.001146131805157593
6,1745,0.0034383954154727794
3,1738,0.0017261219792865361
7,1738,0.004027617951668585
4,1276,0.003134796238244514
3,1276,0.0023510971786833857
2,1396,0.0014326647564469914
2,1740,0.0011494252873563218
3,1435,0.0020905923344947735
4,1329,0.0030097817908201654
1,1329,0.0007524454477050414
0,1329,0.0
2,1743,0.0011474469305794606
1,1743,0.0005737234652897303
