event_id,object,index,iso_dr,iso,conversionType,obj_pt
18,jet,18,0.2,0.332846757778424,,24.073
18,jet,19,0.2,0.25500495913422305,,23.8953
18,jet,20,0.2,0.3581814199548473,,23.7416
18,jet,21,0.2,0.37465238478454527,,23.2369
18,jet,22,0.2,0.3582066324013526,,22.2966
18,jet,23,0.2,0.32461814628825925,,22.0045
18,jet,24,0.2,0.5977928051787054,,21.4571
20,photon,0,0.2,0.02954482310170544,0.0,101.499
20,jet,0,0.2,0.6496035341933205,,70.7375
20,jet,1,0.2,0.6347213351572679,,43.0571
20,jet,2,0.2,1.3408276540434203,,32.7359
21,photon,0,0.2,0.6191352505319776,0.0,43.2819
21,jet,0,0.2,0.11660269431960085,,173.773
21,jet,1,0.2,1.0183001946019121,,141.828
21,jet,2,0.2,0.6359594925926693,,67.6222
21,jet,3,0.2,0.3155783252065035,,52.0088
21,jet,4,0.2,0.4742641295659663,,51.5444
21,jet,5,0.2,0.5337035985628947,,32.7603
21,jet,6,0.2,0.3420843874262135,,30.0021
21,jet,7,0.2,0.5965873314423016,,29.5077
21,jet,8,0.2,0.7843641971475295,,28.9854
21,jet,9,0.2,0.44652065789571654,,26.8614
21,jet,10,0.2,0.21315214284513342,,23.7908
21,jet,11,0.2,0.4308593647603653,,22.889
21,jet,12,0.2,0.6749629334972698,,22.1224
21,jet,13,0.2,0.32706962277391083,,21.0908
21,jet,14,0.2,0.22976307193567616,,20.2973
22,photon,0,0.2,0.009425049654951261,0.0,305.609
22,jet,0,0.2,0.27641896470298344,,243.505
22,jet,1,0.2,0.6131098555079599,,125.128
22,jet,2,0.2,0.9215641440251429,,87.818
22,jet,3,0.2,0.7441401419738951,,32.7525
22,jet,4,0.2,0.458470665787739,,30.9468
22,jet,5,0.2,0.10778036311201415,,30.514
22,jet,6,0.2,0.7982181726320452,,28.8973
22,jet,7,0.2,0.25901716526862306,,23.1514
22,jet,8,0.2,0.2573992456768746,,21.0785
23,photon,0,0.2,0.009298515764910186,0.0,147.416
23,jet,0,0.2,0.9029028000631042,,77.9661
23,jet,1,0.2,0.10537360719389884,,63.2536
23,jet,2,0.2,0.5313105371064009,,31.8503
24,jet,0,0.2,0.084098040243528,,133.537
24,jet,1,0.2,0.41555815428608034,,96.7994
24,jet,2,0.2,0.347082833050016,,86.5343
24,jet,3,0.2,0.3514880636690035,,62.2218
24,jet,4,0.2,0.328770826355399,,33.7373
24,jet,5,0.2,0.09284584066164793,,32.8634
24,jet,6,0.2,0.12803391128299632,,30.8216
24,jet,7,0.2,0.19324769242816822,,29.3707
24,jet,8,0.2,0.09664850906687654,,29.3541
24,jet,9,0.2,0.13265180419867573,,29.2235
24,jet,10,0.2,0.29956544192184836,,26.1415
24,jet,11,0.2,0.29371695894893485,,24.3258
24,jet,12,0.2,0.08586760165188313,,23.4157
24,jet,13,0.2,0.29913147717773714,,21.7726
24,jet,14,0.2,0.1772398669367578,,21.5236
24,jet,15,0.2,0.0,,20.8667
24,jet,16,0.2,0.4589246423974549,,20.5885
25,photon,0,0.2,0.06619596904691444,0.0,158.821
25,photon,1,0.2,0.05243285425804972,0.0,27.0382
25,jet,0,0.2,0.822675853651186,,132.724
25,jet,1,0.2,1.0838707197858592,,22.1163
26,photon,0,0.2,0.11187072079640441,0.0,38.0912
26,jet,0,0.2,0.024749866206577046,,125.193
26,jet,1,0.2,0.7392878325647393,,70.475
26,jet,2,0.2,1.2681551184317996,,58.768
27,jet,0,0.2,0.4579138617994157,,131.765
27,jet,1,0.2,0.03858639518741323,,108.05
27,jet,2,0.2,1.127530904027712,,70.6704
27,jet,3,0.2,0.6323677973028198,,24.47
27,jet,4,0.2,1.274791624399811,,23.6592
29,jet,0,0.2,0.2700416308049246,,106.892
29,jet,1,0.2,0.4250963316666504,,102.199
29,jet,2,0.2,0.043431550940121105,,59.6838
29,jet,3,0.2,0.1339759172367008,,56.6048
29,jet,4,0.2,0.06483287394609506,,44.3707
29,jet,5,0.2,0.2572334320849362,,40.7082
29,jet,6,0.2,0.2524028861918688,,40.3161
29,jet,7,0.2,0.1398808032627539,,39.9172
29,jet,8,0.2,0.24097153675216268,,39.5106
29,jet,9,0.2,0.3714026917254672,,36.2667
29,jet,10,0.2,0.19217117309658452,,34.6246
29,jet,11,0.2,0.18959429805515507,,34.5426
29,jet,12,0.2,0.2022373094300418,,33.1112
29,jet,13,0.2,0.10015834969613525,,29.9969
29,jet,14,0.2,0.0635278416996682,,29.8976
29,jet,15,0.2,0.14785346553022058,,28.0289
29,jet,16,0.2,0.42697386843490637,,26.7837
29,jet,17,0.2,0.3220787911741109,,26.2999
29,jet,18,0.2,0.11739353757892325,,25.3094
29,jet,19,0.2,0.2891738110643804,,24.728
29,jet,20,0.2,0.13091340779702434,,23.0806
29,jet,21,0.2,0.39322967008004134,,22.4509
29,jet,22,0.2,0.43233770487265955,,21.6781
29,jet,23,0.2,0.2502326665824728,,20.5874
29,jet,24,0.2,0.6397717658728229,,20.5666
29,jet,25,0.2,0.0695562561211513,,20.5231
29,jet,26,0.2,0.26904455763809904,,20.221
30,photon,0,0.2,0.0,0.0,252.801
30,jet,0,0.2,0.7329671904201565,,144.47
30,jet,1,0.2,0.3425168686303515,,39.1407
30,jet,2,0.2,0.2410968520574189,,28.9173
30,jet,3,0.2,0.5852904657599796,,24.2421
30,jet,4,0.2,0.5356348978876925,,21.9807
30,jet,5,0.2,0.0,,21.9384
30,jet,6,0.2,0.6812547743669544,,21.207
30,jet,7,0.2,0.9462610727809588,,20.6249
30,jet,8,0.2,0.51660843499062,,20.1494
31,photon,0,0.2,0.2645703907635095,0.0,48.5639
31,jet,0,0.2,0.34624355984784394,,29.0754
32,photon,0,0.2,0.011042939237238668,0.0,121.637
32,jet,0,0.2,0.7048691494347139,,136.568
32,jet,1,0.2,0.595479498631117,,56.4694
32,jet,2,0.2,0.9611494371731616,,40.6164
32,jet,3,0.2,0.6736841243540962,,30.5386
32,jet,4,0.2,0.7335386863262303,,28.4713
32,jet,5,0.2,0.35518303358982883,,22.2746
34,photon,0,0.2,0.02925715102536744,0.0,195.881
34,jet,0,0.2,1.5468639474643469,,71.0527
34,jet,1,0.2,0.828673520116473,,56.322
34,jet,2,0.2,0.40394419781462293,,43.1596
34,jet,3,0.2,0.4651314296091161,,30.8378
34,jet,4,0.2,0.46686973600985393,,21.0273
35,photon,0,0.2,0.028637139615989984,0.0,45.0457
35,jet,0,0.2,0.28934381961391425,,169.237
35,jet,1,0.2,0.6194331427880108,,165.315
35,jet,2,0.2,0.5267178897728966,,71.1658
35,jet,3,0.2,0.031306553398058254,,41.2
35,jet,4,0.2,0.3990162292640337,,38.942
35,jet,5,0.2,0.16424034983413993,,35.9942
35,jet,6,0.2,0.1438905597965874,,33.9802
35,jet,7,0.2,0.8017635516533487,,33.0753
35,jet,8,0.2,0.0,,28.6575
35,jet,9,0.2,0.2042654028436019,,27.5777
35,jet,10,0.2,0.42008179990902483,,25.7213
35,jet,11,0.2,0.1931888215079049,,25.3451
35,jet,12,0.2,0.48730273853713796,,24.5423
35,jet,13,0.2,0.33595570340931924,,22.3945
35,jet,14,0.2,0.20182658552625485,,21.5922
35,jet,15,0.2,0.0,,21.1651
35,jet,16,0.2,0.6053175078848855,,20.3554
36,photon,0,0.2,0.0,0.0,102.141
36,jet,0,0.2,0.5312619395437691,,142.384
36,jet,1,0.2,0.8546081730116953,,58.9648
36,jet,2,0.2,0.5192740795455993,,39.2605
36,jet,3,0.2,0.1386960701798742,,30.0599
38,photon,0,0.2,0.0193421034012707,0.0,63.6027
38,photon,1,0.2,0.09313921896868739,0.0,54.6585
38,jet,0,0.2,0.6723633240900015,,37.6127
38,jet,1,0.2,0.21574519974198336,,33.9513
38,jet,2,0.2,0.17078381887185537,,26.1119
39,photon,0,0.2,0.00814148003513503,0.0,178.739
39,jet,0,0.2,0.6311492448850117,,81.4909
39,jet,1,0.2,0.41083164497139424,,70.0383
39,jet,2,0.2,0.6808031988554554,,32.7117
39,jet,3,0.2,0.6613647347005028,,27.1071
39,jet,4,0.2,0.16262229339649303,,22.2927
39,jet,5,0.2,0.2606111802852236,,21.6041
39,jet,6,0.2,0.06499570767130614,,21.3171
39,jet,7,0.2,0.6026159555617117,,20.9369
40,photon,0,0.2,0.0,0.0,153.988
40,jet,0,0.2,0.7750988803400303,,101.638
40,jet,1,0.2,0.01757501945262018,,94.5888
40,jet,2,0.2,0.6549372840638468,,57.5691
40,jet,3,0.2,0.7783876761378953,,52.6718
40,jet,4,0.2,0.715280724084288,,25.4556
43,photon,0,0.2,0.032140320723817555,0.0,61.673
43,jet,0,0.2,0.5289126972368323,,107.992
43,jet,1,0.2,0.49921893983386256,,48.5622
43,jet,2,0.2,0.20842981651479534,,44.3687
43,jet,3,0.2,0.752834352470913,,33.6232
43,jet,4,0.2,0.1644710779109811,,30.8968
43,jet,5,0.2,0.4538357632848914,,25.4669
43,jet,6,0.2,0.4017138554337508,,24.9671
43,jet,7,0.2,0.2565332884858364,,23.1897
43,jet,8,0.2,0.9046584773996638,,22.5417
43,jet,9,0.2,0.4843695087521175,,22.1375
43,jet,10,0.2,0.28953981944710944,,21.3677
43,jet,11,0.2,0.18819960506358094,,20.9654
44,photon,0,0.2,0.11734962537094862,0.0,129.061
44,jet,0,0.2,0.2565340283535632,,147.142
44,jet,1,0.2,0.01865856216145852,,82.9662
44,jet,2,0.2,0.29283261041327374,,31.0085
44,jet,3,0.2,0.3950707750957699,,26.9657
45,photon,0,0.2,0.16896568554268063,0.0,34.8308
45,jet,0,0.2,0.8439533463605275,,122.82
45,jet,1,0.2,0.391246838823431,,62.1604
45,jet,2,0.2,1.301122850312331,,45.3845
45,jet,3,0.2,0.8433586933006418,,27.734
45,jet,4,0.2,0.25013315700836936,,27.3737
45,jet,5,0.2,0.0,,23.3697
45,jet,6,0.2,0.4664752569229396,,21.2807
46,photon,0,0.2,0.040169307280484824,0.0,147.188
46,jet,0,0.2,0.5534383845032678,,212.69
46,jet,1,0.2,0.07128240414693449,,80.3678
46,jet,2,0.2,0.2848468201771118,,39.3198
46,jet,3,0.2,0.34206676773253175,,34.2351
46,jet,4,0.2,0.3083995398882585,,27.9932
46,jet,5,0.2,0.3098139214334941,,27.569
46,jet,6,0.2,0.5789593142403832,,27.2282
46,jet,7,0.2,0.4304601953240604,,27.032
46,jet,8,0.2,0.123035063401612,,25.3227
46,jet,9,0.2,0.09929267532299271,,24.6987
46,jet,10,0.2,0.06858007069059271,,23.5392
46,jet,11,0.2,0.58396278908016,,23.004
46,jet,12,0.2,0.06332231835207645,,22.6661
46,jet,13,0.2,0.0842778910775217,,20.2511
47,photon,0,0.2,0.02681206202812062,0.0,110.595
47,jet,0,0.2,0.03794476236164891,,145.915
47,jet,1,0.2,1.5254373245523178,,97.9993
47,jet,2,0.2,0.104023587574828,,47.0078
47,jet,3,0.2,0.05689673296335129,,37.1009
47,jet,4,0.2,0.2718381756442608,,31.1869
47,jet,5,0.2,0.05380875392017453,,25.6685
47,jet,6,0.2,0.20336879643387817,,25.2375
47,jet,7,0.2,0.05556814405873805,,24.9787
47,jet,8,0.2,0.49282691785542726,,23.9395
47,jet,9,0.2,0.3101094488423434,,23.5087
47,jet,10,0.2,0.20438612391458214,,23.1708
47,jet,11,0.2,0.2497707212341294,,22.6362
47,jet,12,0.2,0.05932198775912054,,22.0409
47,jet,13,0.2,0.0625923175404466,,21.9487
47,jet,14,0.2,0.08142483822225896,,21.7737
47,jet,15,0.2,0.17128937708356742,,21.3576
47,jet,16,0.2,0.14027066483281775,,21.3031
47,jet,17,0.2,0.5216950065436058,,21.1657
47,jet,18,0.2,0.273780290329955,,20.9968
