target_tpr,val_fake_rate,val_threshold,val_achieved_tpr,test_fake_rate,test_threshold,test_achieved_tpr
0.8,0.13341979411526303,0.31730433702468874,0.8,0.13886497582941526,0.30844430128733313,0.8
0.9,0.1609953797519657,0.1851764321327206,0.9,0.16745910866830013,0.1642691045999526,0.9
0.95,0.21634108778471264,0.055664855241775515,0.95,0.21852857426660485,0.05739840343594551,0.95
