obj_pt,obj_eta,obj_phi,obj_e,sum_pt,n_tracks,pt1_over_ptobj,pt2_over_ptobj,dr1,dr2,ntrk_r0_0p05,sumpt_r0_0p05,ntrk_r0p05_0p10,sumpt_r0p05_0p10,ntrk_r0p10_0p20,sumpt_r0p10_0p20,ntrk_r0p20_iso,sumpt_r0p20_iso,max_pt,mean_dr,ptw_mean_dr,top2_sumpt_frac,n_tracks_core,sum_pt_core
84.0367,1.41875,1.42715,184.021,2.4369,2.0,0.0146380095,0.014360036,0.095418975,0.14000452,0.0,0.0,1.0,1.23013,1.0,1.20677,0.0,0.0,1.23013,0.117711745,0.11749805,1.0,0.0,0.0
24.4001,-1.24753,2.82805,46.2587,5.82149,4.0,0.07498043,0.068319395,0.0750076,0.13332406,0.0,0.0,1.0,1.82953,3.0,3.99196,0.0,0.0,1.82953,0.11844304,0.11330182,0.60062456,0.0,0.0
24.33,-0.487203,2.34408,27.6968,4.414379,4.0,0.055200577,0.047026716,0.19886127,0.13621947,0.0,0.0,0.0,0.0,4.0,4.414379,0.0,0.0,1.34303,0.16105926,0.163591,0.5634292,0.0,0.0
72.762,0.108581,0.537853,73.7113,4.629516,4.0,0.019899948,0.0153338285,0.19376333,0.18926452,0.0,0.0,0.0,0.0,4.0,4.629516,0.0,0.0,1.44796,0.18937741,0.18981397,0.55376846,0.0,0.0
72.3747,1.50866,1.59898,172.115,2.53557,2.0,0.018360008,0.01667392,0.19698681,0.07199487,0.0,0.0,1.0,1.20677,1.0,1.3288,0.0,0.0,1.3288,0.13449083,0.1374986,1.0,0.0,0.0
67.609,-0.30382,-0.926451,71.7737,14.07326,8.0,0.043669187,0.03270615,0.1190545,0.045772076,1.0,2.21123,2.0,3.3371,5.0,8.52493,0.0,0.0,2.95243,0.11711425,0.10888205,0.36691284,1.0,2.21123
28.0236,-1.33016,2.67501,57.0542,7.28762,5.0,0.06678728,0.06528533,0.117818005,0.15060268,0.0,0.0,0.0,0.0,5.0,7.28762,0.0,0.0,1.87162,0.15124576,0.14770865,0.5078681,0.0,0.0
25.4401,0.0978463,-1.65501,26.3956,4.531068,4.0,0.050767884,0.049820166,0.08052344,0.12794256,0.0,0.0,1.0,1.29154,3.0,3.239528,0.0,0.0,1.29154,0.1340149,0.12952223,0.56476086,0.0,0.0
20.6864,-0.325055,3.06871,22.3232,3.233398,3.0,0.05669957,0.055251278,0.1493675,0.061918575,0.0,0.0,1.0,1.14295,2.0,2.090448,0.0,0.0,1.17291,0.12066912,0.11883999,0.71623105,0.0,0.0
189.065,0.707268,-2.23348,238.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139.104,0.270375,3.10353,146.12,2.71623,2.0,0.011898795,0.0076278183,0.1533113,0.14859399,0.0,0.0,0.0,0.0,2.0,2.71623,0.0,0.0,1.65517,0.15095265,0.15146855,1.0,0.0,0.0
123.498,0.823476,-1.37149,168.958,1.1419,1.0,0.009246304,0.0,0.03708129,0.0,1.0,1.1419,0.0,0.0,0.0,0.0,0.0,0.0,1.1419,0.03708129,0.03708129,1.0,1.0,1.1419
106.681,0.437133,-0.55985,117.737,3.658169,3.0,0.013439038,0.011929772,0.1607613,0.17160393,0.0,0.0,0.0,0.0,3.0,3.658169,0.0,0.0,1.43369,0.17292662,0.17120805,0.7398155,0.0,0.0
46.4986,0.51581,0.176406,53.2793,1.66123,1.0,0.03572645,0.0,0.06548428,0.0,0.0,0.0,1.0,1.66123,0.0,0.0,0.0,0.0,1.66123,0.06548428,0.06548428,1.0,0.0,0.0
37.3372,0.954188,-0.848038,56.0732,4.320215,3.0,0.04563438,0.04491499,0.104614116,0.15101492,1.0,0.939355,0.0,0.0,2.0,3.38086,0.0,0.0,1.70386,0.09917196,0.10898681,0.78256756,1.0,0.939355
35.4964,-0.746925,0.568355,46.8693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.9559,-0.847949,-2.05958,41.8488,5.1074,4.0,0.051919322,0.045718875,0.19904827,0.098189704,0.0,0.0,1.0,1.36955,3.0,3.73785,0.0,0.0,1.55529,0.1564957,0.15728724,0.5726671,0.0,0.0
25.2174,2.07308,1.98325,101.924,5.461606,4.0,0.08065185,0.062713444,0.10456296,0.15040804,0.0,0.0,1.0,1.04719,3.0,4.414416,0.0,0.0,2.03383,0.11927938,0.11890806,0.66194814,0.0,0.0
22.168,-0.363028,-1.63687,24.1843,4.34777,3.0,0.07389841,0.07160682,0.087793276,0.076010354,0.0,0.0,2.0,3.22556,1.0,1.12221,0.0,0.0,1.63818,0.11008441,0.10379341,0.74188834,0.0,0.0
21.3748,-0.943238,1.26843,32.0781,3.52797,3.0,0.066351965,0.051060595,0.14820752,0.1773455,0.0,0.0,0.0,0.0,3.0,3.52797,0.0,0.0,1.41826,0.16360453,0.16214374,0.71136373,0.0,0.0
21.1836,1.71757,2.93039,61.0455,1.995936,2.0,0.04712197,0.04709884,0.18830043,0.14834592,0.0,0.0,0.0,0.0,2.0,1.995936,0.0,0.0,0.998213,0.16832317,0.16832808,1.0,0.0,0.0
20.63,2.35249,-0.720261,109.533,3.855223,4.0,0.066218615,0.041983858,0.11922923,0.17017208,0.0,0.0,0.0,0.0,4.0,3.855223,0.0,0.0,1.36609,0.16623107,0.15950038,0.57901114,0.0,0.0
20.1046,-1.11013,-0.712764,34.1638,1.27608,1.0,0.06347204,0.0,0.05893691,0.0,0.0,0.0,1.0,1.27608,0.0,0.0,0.0,0.0,1.27608,0.05893691,0.05893691,1.0,0.0,0.0
177.35,-1.06585,-2.17251,288.601,5.51843,3.0,0.014624133,0.008769608,0.06358123,0.047280688,1.0,1.55529,1.0,2.59359,1.0,1.36955,0.0,0.0,2.59359,0.08604095,0.079754576,0.75182253,1.0,1.55529
147.247,1.14835,0.858873,255.895,8.000934,5.0,0.015539739,0.012383614,0.11807379,0.13867934,0.0,0.0,0.0,0.0,5.0,8.000934,0.0,0.0,2.28818,0.14184803,0.13674547,0.5138937,0.0,0.0
81.5847,-1.16451,-0.772685,144.025,1.27608,1.0,0.015641168,0.0,0.074217215,0.0,0.0,0.0,1.0,1.27608,0.0,0.0,0.0,0.0,1.27608,0.074217215,0.074217215,1.0,0.0,0.0
57.684,-1.44717,-3.02254,130.143,1.38692,1.0,0.02404341,0.0,0.10343622,0.0,0.0,0.0,0.0,0.0,1.0,1.38692,0.0,0.0,1.38692,0.10343622,0.10343622,1.0,0.0,0.0
52.9997,-0.0427472,-2.84021,54.2717,2.37653,2.0,0.025823353,0.01901709,0.17955822,0.08365158,0.0,0.0,1.0,1.0079,1.0,1.36863,0.0,0.0,1.36863,0.13160491,0.13888367,1.0,0.0,0.0
48.717,-0.662375,-2.81843,60.3617,4.09068,3.0,0.03602028,0.025664346,0.14357907,0.14077842,0.0,0.0,0.0,0.0,3.0,4.09068,0.0,0.0,1.7548,0.15887211,0.15564178,0.7346187,0.0,0.0
46.6712,0.511238,1.6998,54.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0243,-1.5897,2.54935,105.13,4.422823,4.0,0.033897713,0.026668828,0.1957636,0.17916521,0.0,0.0,0.0,0.0,4.0,4.422823,0.0,0.0,1.39063,0.16758549,0.1719027,0.5617905,0.0,0.0
40.2867,-1.42242,2.09078,88.9576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.194,1.54869,0.0733695,99.2605,1.16136,1.0,0.028893866,0.0,0.07475078,0.0,0.0,0.0,1.0,1.16136,0.0,0.0,0.0,0.0,1.16136,0.07475078,0.07475078,1.0,0.0,0.0
34.915,0.622961,0.0647811,42.999,1.66123,1.0,0.047579262,0.0,0.16335112,0.0,0.0,0.0,0.0,0.0,1.0,1.66123,0.0,0.0,1.66123,0.16335112,0.16335112,1.0,0.0,0.0
34.4599,1.24533,-2.75765,65.2454,2.49016,2.0,0.0376246,0.034637943,0.14727849,0.18143822,0.0,0.0,0.0,0.0,2.0,2.49016,0.0,0.0,1.29654,0.16435835,0.16365243,1.0,0.0,0.0
33.8188,-1.22259,1.44168,62.7665,9.19306,4.0,0.11931027,0.08731978,0.10265834,0.03324876,1.0,2.95305,1.0,1.11367,2.0,5.12634,0.0,0.0,4.03493,0.09862622,0.08667317,0.7601364,1.0,2.95305
28.2048,-0.451613,-1.03592,32.0403,7.67597,4.0,0.10467828,0.07839907,0.19085097,0.17439745,1.0,1.00082,0.0,0.0,3.0,6.67515,0.0,0.0,2.95243,0.14433159,0.16235885,0.6727046,1.0,1.00082
28.1652,-0.0992834,1.51076,28.7658,3.00416,2.0,0.06649234,0.040169783,0.10973452,0.060338978,0.0,0.0,1.0,1.13139,1.0,1.87277,0.0,0.0,1.87277,0.08503675,0.09113178,1.0,0.0,0.0
27.6736,-1.13217,-1.39802,47.7557,2.9433,2.0,0.05424484,0.052112844,0.16908936,0.19581784,0.0,0.0,0.0,0.0,2.0,2.9433,0.0,0.0,1.50115,0.1824536,0.18218571,1.0,0.0,0.0
25.8653,-1.72306,0.40411,75.0284,3.64963,1.0,0.1411014,0.0,0.109626636,0.0,0.0,0.0,0.0,0.0,1.0,3.64963,0.0,0.0,3.64963,0.109626636,0.109626636,1.0,0.0,0.0
24.957,2.15339,0.155302,109.082,6.662956,4.0,0.106998034,0.070471615,0.08503309,0.06616961,0.0,0.0,2.0,4.42911,2.0,2.233846,0.0,0.0,2.67035,0.11742761,0.1033411,0.6647365,0.0,0.0
23.5582,-0.115445,-1.96265,24.2283,4.735598,2.0,0.15972824,0.041288722,0.14887853,0.16230647,0.0,0.0,0.0,0.0,2.0,4.735598,0.0,0.0,3.76291,0.1555925,0.15163662,1.0,0.0,0.0
23.5359,0.648806,-1.81425,29.2472,3.02035,2.0,0.064803556,0.06352593,0.11995302,0.14437562,0.0,0.0,0.0,0.0,2.0,3.02035,0.0,0.0,1.52521,0.13216433,0.13204275,1.0,0.0,0.0
21.9665,0.665385,-1.10561,27.3661,1.859555,2.0,0.04290306,0.041751076,0.11054731,0.18966325,0.0,0.0,0.0,0.0,2.0,1.859555,0.0,0.0,0.94243,0.15010528,0.14956698,1.0,0.0,0.0
21.8998,2.4198,1.16766,124.194,5.702502,6.0,0.050204568,0.047052942,0.19114108,0.15540159,1.0,1.0058,0.0,0.0,5.0,4.696702,0.0,0.0,1.09947,0.14855619,0.14757301,0.37350622,1.0,1.0058
21.6526,-2.15386,2.22921,94.6905,13.845964,8.0,0.19334352,0.10962379,0.12354977,0.035997827,2.0,3.249454,3.0,3.98486,3.0,6.61165,0.0,0.0,4.18639,0.09280865,0.096034,0.47378644,2.0,3.249454
20.8813,1.00608,3.01559,32.743,7.08476,3.0,0.19376141,0.09512674,0.18095684,0.16236721,0.0,0.0,0.0,0.0,3.0,7.08476,0.0,0.0,4.04599,0.14788727,0.16376932,0.8514558,0.0,0.0
20.0114,2.04815,-1.8463,78.9901,4.147581,3.0,0.10878399,0.05090748,0.18947707,0.1317238,0.0,0.0,1.0,0.951931,2.0,3.19565,0.0,0.0,2.17692,0.12480043,0.1440142,0.7704853,0.0,0.0
213.048,-0.185988,-0.841771,218.134,9.73231,5.0,0.010453466,0.010379023,0.17177999,0.16526891,1.0,1.5117,1.0,1.8254,3.0,6.39521,0.0,0.0,2.22709,0.115987346,0.12237261,0.45603973,1.0,1.5117
60.1515,-1.0634,-0.994213,98.2533,3.5228,2.0,0.03038511,0.028180344,0.14131938,0.10997181,0.0,0.0,0.0,0.0,2.0,3.5228,0.0,0.0,1.82771,0.1256456,0.12623565,1.0,0.0,0.0
35.5397,-1.39138,3.11051,76.4584,2.56251,2.0,0.043677915,0.028424831,0.17143908,0.08107284,0.0,0.0,1.0,1.01021,1.0,1.5523,0.0,0.0,1.5523,0.12625596,0.1358143,1.0,0.0,0.0
33.982,0.0128961,1.93905,34.9461,4.51086,3.0,0.057449825,0.040429052,0.056385837,0.1765789,0.0,0.0,1.0,1.95226,2.0,2.5586,0.0,0.0,1.95226,0.12495825,0.11545491,0.7373583,0.0,0.0
25.7483,-0.95387,1.36569,38.7113,11.27984,5.0,0.15670666,0.14065278,0.18667085,0.12181639,0.0,0.0,0.0,0.0,5.0,11.27984,0.0,0.0,4.03493,0.1643087,0.1607239,0.67877734,0.0,0.0
24.2986,0.147798,-0.000904466,25.0783,4.222986,4.0,0.047452528,0.046624497,0.11536705,0.130857,0.0,0.0,0.0,0.0,4.0,4.222986,0.0,0.0,1.15303,0.11746102,0.11797404,0.54130894,0.0,0.0
20.6129,-0.579721,-0.380064,24.5139,4.337151,3.0,0.105980724,0.057606645,0.15941215,0.17415541,0.0,0.0,1.0,0.965141,2.0,3.37201,0.0,0.0,2.18457,0.14058076,0.14759623,0.7774712,0.0,0.0
153.743,-0.737902,1.32691,198.395,3.655372,3.0,0.009268585,0.008213252,0.19273718,0.08191407,0.0,0.0,1.0,1.26273,2.0,2.392642,0.0,0.0,1.42498,0.15605098,0.15465628,0.73527676,0.0,0.0
94.7377,-0.434054,0.551799,104.372,4.247074,3.0,0.021270202,0.013128881,0.19641763,0.16728503,0.0,0.0,1.0,0.988184,2.0,3.25889,0.0,0.0,2.01509,0.15009467,0.1623298,0.76732594,0.0,0.0
85.8745,-0.674838,1.99064,106.835,2.13034,2.0,0.012974165,0.011833431,0.16027273,0.06765952,0.0,0.0,1.0,1.01619,1.0,1.11415,0.0,0.0,1.11415,0.11396612,0.11609545,1.0,0.0,0.0
57.6054,0.403712,-2.88313,62.7649,5.5615,4.0,0.027562868,0.025535107,0.17483567,0.108061485,0.0,0.0,1.0,1.44171,3.0,4.11979,0.0,0.0,1.58777,0.14451338,0.14162195,0.5499829,0.0,0.0
31.8502,2.00798,-2.39603,120.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.6729,0.0880034,-0.846428,26.7946,7.90682,4.0,0.08567122,0.083496355,0.17098841,0.17964624,0.0,0.0,1.0,1.90499,3.0,6.00183,0.0,0.0,2.2851,0.15497716,0.15585521,0.57067066,0.0,0.0
20.4012,-0.899685,-1.42373,29.6285,6.8867,3.0,0.16313796,0.09069761,0.19668002,0.18702435,0.0,0.0,0.0,0.0,3.0,6.8867,0.0,0.0,3.32821,0.18309078,0.1863688,0.7519639,0.0,0.0
72.7012,1.83088,-2.65201,232.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.1108,0.868197,-1.33971,91.6074,1.1419,1.0,0.017537797,0.0,0.06910711,0.0,0.0,0.0,1.0,1.1419,0.0,0.0,0.0,0.0,1.1419,0.06910711,0.06910711,1.0,0.0,0.0
47.2572,1.78273,1.87503,144.635,5.77555,4.0,0.039232753,0.034842733,0.18057956,0.1235209,0.0,0.0,0.0,0.0,4.0,5.77555,0.0,0.0,1.85403,0.14596419,0.14731689,0.60610676,0.0,0.0
32.5882,1.00201,1.37186,51.0018,5.12428,3.0,0.08639324,0.039882228,0.13987961,0.15995035,0.0,0.0,0.0,0.0,3.0,5.12428,0.0,0.0,2.8154,0.16453803,0.15558633,0.8030572,0.0,0.0
26.6478,-1.07226,2.65119,43.944,5.82149,4.0,0.068655945,0.06255676,0.17692266,0.18739343,0.0,0.0,1.0,1.01248,3.0,4.80901,0.0,0.0,1.82953,0.15635261,0.16298158,0.60062456,0.0,0.0
24.7486,-0.0849278,-2.35933,25.4296,4.02266,3.0,0.062351003,0.055176858,0.19648734,0.18890268,0.0,0.0,0.0,0.0,3.0,4.02266,0.0,0.0,1.5431,0.18614745,0.18742268,0.72306633,0.0,0.0
