event_id,m_gg
1,123.43539669988327
10,124.51095778196672
17,120.70494354718957
25,116.49500189047524
38,124.22851446488953
49,126.32726796896942
50,122.49915782603635
55,124.5025153257374
58,128.71019213767454
64,128.06648156555968
65,127.27403120694746
68,124.33585359432253
75,127.06477898467084
79,126.55224179430321
81,125.12761533405238
82,121.02880704021459
87,125.14158357151473
96,122.02171710438654
102,123.39156313802646
103,127.2807698699693
106,120.99850717816827
107,125.10636566066256
110,122.95588659653423
121,124.38604001826423
124,125.07901834345635
127,121.33934776110954
132,122.31454839938226
139,122.28846607685449
144,125.9126876502379
150,122.17385203339518
152,125.00034555586028
158,129.35301837785462
162,127.64846513575765
166,126.11442494078531
168,122.9762160959623
173,124.70324439848625
176,124.45324282566973
182,130.6562783014137
184,125.24611019898947
189,128.8775794806926
195,125.70981419911844
205,125.01247030976907
213,123.52829182538187
218,126.7210392001892
220,127.34165921590846
222,125.53265359579287
224,127.51212198614034
225,121.44410625842413
228,124.85730853281666
230,138.1233187944794
237,129.7938165402481
243,126.34536022631593
244,127.46467628165543
252,130.89098474400797
254,127.91684650872459
262,125.88070161986543
265,127.50307223915894
273,124.60847442512734
274,124.19291092862085
285,125.92190029332855
286,125.06210177858884
287,131.3739630470521
288,122.90001876734287
289,127.90830507283654
290,127.33901527745532
295,126.41810009543647
300,120.62229801607992
310,125.95447815883608
312,126.91061295871603
316,127.21177539974839
319,129.69857548153166
324,124.8617307481006
327,125.09758808940954
333,119.72402975961076
334,122.4681563876203
336,123.26162961175501
338,124.155890848102
341,126.64165096795786
342,123.775222763425
345,125.86844863756579
350,126.60742791857159
352,125.46008380231085
355,125.7194849219146
356,124.81539173390495
366,125.43395414677995
373,121.23088530921547
376,133.6879327186924
380,124.5794225756826
381,120.96324363974917
387,125.21564388557621
398,120.85925664957094
402,125.38587504107421
410,124.55614935669338
412,121.37814984689483
417,125.72927839321274
420,134.92182831203561
421,125.40526436524192
422,122.92609470665475
426,125.63719555176438
429,126.30637329200546
434,125.75397508138099
436,123.27597488264111
443,121.93807494356945
447,125.84058416754515
449,127.78496952933733
450,122.87256851099788
466,130.31287555251927
467,124.5648866461867
476,124.67745409762117
477,127.51286043522038
478,119.46848480459745
480,124.2219096026766
484,132.5253062560949
486,124.09952139963865
495,127.24905678285464
497,125.5117455981679
500,127.81814650207806
505,124.85076734594388
516,123.2842467024094
519,121.9735341699968
530,126.00063976637078
533,126.65643715472811
539,126.40775237990914
540,131.20310934435918
547,124.1575003446593
553,128.10483346018185
555,125.34095250722379
557,128.7414323876243
564,127.35187747647899
570,123.04520051829435
572,125.23090505611783
575,124.76683259467202
576,123.57876517869563
582,133.48524633006878
584,126.72794604243323
585,127.03721790945353
587,127.05269331322582
592,125.43456165900815
597,126.81401639356926
607,127.60325368241236
609,132.6717932800206
611,126.44369952205916
612,126.12762304508281
613,130.86879006936786
615,128.26356606053267
616,125.40439524645376
622,124.7119068441486
627,125.39906096459823
636,123.77822007556242
642,119.66919166245933
646,123.89428544415898
648,126.11160987883687
652,128.76412025497996
662,126.487006605737
665,121.70670529676572
667,120.4764145322897
670,120.93225038479274
673,125.11148634467465
676,126.73034020283406
677,127.91863214969817
682,128.72177421094153
691,123.89182901474666
