fake_rate,acceptance
0.0,0.0
0.006451174792883336,0.02672179086417263
0.006468151568654081,0.02974689926389029
0.006485128344424827,0.030049410103862056
0.0065021051201955725,0.03186447514369265
0.006519081895966318,0.03448623575678129
0.0065360586717370635,0.03539376827669658
0.006553035447507809,0.03589795300998286
0.006570012223278555,0.037208833316527176
0.006586988999049301,0.03771301804981345
0.0066039657748200465,0.03821720278309973
0.006620942550590792,0.03821720278309973
0.0066379193263615376,0.04023394171624483
0.006654896102132283,0.0405364525562166
0.006671872877903029,0.0405364525562166
0.006688849653673774,0.0405364525562166
0.00670582642944452,0.04114147423616013
0.006722803205215265,0.04164565896944641
0.006739779980986011,0.04426741958253504
0.006756756756756757,0.04517495210245034
0.006773733532527503,0.0454774629424221
0.006790710308298248,0.046485832408994655
0.006807687084068994,0.04658666935565191
0.006824663859839739,0.04749420187556721
0.006841640635610485,0.04890591912876878
0.00685861741138123,0.04890591912876878
0.006875594187151976,0.05183019058182918
0.006892570962922721,0.05485529898154684
0.006909547738693468,0.05566199455480488
0.006926524514464213,0.05616617928809116
0.006943501290234959,0.05707371180800645
0.006960478066005704,0.05858626600786528
0.00697745484177645,0.060804678834324895
0.006994431617547195,0.06362811334072804
0.007011408393317941,0.06624987395381668
0.0070283851690886865,0.06635071090047394
0.007045361944859432,0.0666532217404457
0.0070623387206301775,0.06745991731370374
0.007079315496400924,0.06766159120701826
0.0070962922721716695,0.06826661288696179
0.007113269047942415,0.06988000403347787
0.0071302458237131605,0.06988000403347787
0.007147222599483906,0.07058586266007866
0.007164199375254652,0.07139255823333669
0.007181176151025397,0.07219925380659474
0.007198152926796143,0.07260260159322375
0.007215129702566888,0.07391348189976807
0.007232106478337634,0.07512352525965514
0.00724908325410838,0.07522436220631239
0.007266060029879126,0.0754260360996269
0.007283036805649871,0.07552687304628417
0.007300013581420617,0.0763335686195422
0.007316990357191362,0.0763335686195422
0.007333967132962108,0.07673691640617122
0.007350943908732853,0.07915700312594534
0.007367920684503599,0.07956035091257437
0.007384897460274344,0.07986286175254613
0.007401874236045091,0.07986286175254613
0.007418851011815836,0.07986286175254613
0.007435827787586582,0.07986286175254613
0.007452804563357327,0.08066955732580418
0.007469781339128073,0.08087123121911868
0.007486758114898818,0.08147625289906221
0.007503734890669564,0.08147625289906221
0.007520711666440309,0.08288797015226379
0.007537688442211055,0.08500554603206614
0.0075546652179818005,0.08500554603206614
0.007571641993752547,0.08550973076535243
0.007588618769523292,0.08571140465866693
0.007605595545294038,0.08742563275184027
0.0076225723210647835,0.08742563275184027
0.007639549096835529,0.08823232832509832
0.0076565258726062745,0.08954320863164264
0.00767350264837702,0.0909549258848442
0.007690479424147766,0.09135827367147323
0.007707456199918511,0.09236664313804578
0.0077244329756892575,0.09256831703136029
0.007741409751460003,0.09398003428456186
0.007758386527230749,0.09519007764444892
0.007775363303001494,0.09670263184430776
0.00779234007877224,0.09710597963093677
0.007809316854542985,0.09761016436422305
0.007826293630313732,0.1004335988706262
0.007843270406084476,0.10083694665725522
0.007860247181855223,0.10184531612382777
0.007877223957625967,0.1024503378037713
0.007894200733396714,0.1024503378037713
0.007911177509167458,0.10396289200363013
0.007928154284938205,0.1053746092568317
0.00794513106070895,0.106282141776747
0.007962107836479696,0.10698800040334779
0.007979084612250442,0.10870222849652113
0.007996061388021187,0.10971059796309368
0.008013038163791933,0.10981143490975093
0.008030014939562678,0.11051729353635172
0.008046991715333424,0.11182817384289603
0.008063968491104169,0.11233235857618232
0.008080945266874915,0.11323989109609761
0.00809792204264566,0.11323989109609761
0.008114898818416406,0.11323989109609761
0.008131875594187153,0.1141474236160129
0.008148852369957897,0.11465160834929919
0.008165829145728644,0.11545830392255722
0.008182805921499389,0.11545830392255722
0.008199782697270135,0.11676918422910154
0.00821675947304088,0.11818090148230312
0.008233736248811626,0.11858424926893214
0.00825071302458237,0.11929010789553292
0.008267689800353117,0.11969345568216194
0.008284666576123862,0.11989512957547646
0.008301643351894608,0.12060098820207724
0.008318620127665355,0.12181103156196431
0.0083355969034361,0.12302107492185137
0.008352573679206846,0.12392860744176666
0.00836955045497759,0.12413028133508118
0.008386527230748337,0.12433195522839569
0.008403504006519081,0.12503781385499646
0.008420480782289828,0.1254411616416255
0.008437457558060572,0.12574367248159726
0.008454434333831319,0.12715538973479884
0.008471411109602065,0.1283654330946859
0.00848838788537281,0.1287687808813149
0.008505364661143556,0.12917212866794395
0.0085223414369143,0.1305838459211455
0.008539318212685047,0.13431481294746395
0.008556294988455792,0.13491983462740748
0.008573271764226538,0.13633155188060905
0.008590248539997283,0.13986084501361298
0.00860722531576803,0.14147423616012908
0.008624202091538776,0.1420792578400726
0.00864117886730952,0.14268427952001614
0.008658155643080267,0.14419683371987496
0.008675132418851011,0.14470101845316125
0.008692109194621758,0.14540687707976202
0.008709085970392503,0.14661692043964908
0.008726062746163249,0.1468185943329636
0.008743039521933994,0.14712110517293536
0.00876001629770474,0.1477261268528789
0.008776993073475485,0.14863365937279419
0.008793969849246231,0.15024705051931028
0.008810946625016977,0.15075123525259654
0.008827923400787722,0.15095290914591106
0.008844900176558469,0.15105374609256833
0.008861876952329213,0.15105374609256833
0.00887885372809996,0.15115458303922558
0.008895830503870704,0.15317132197237068
0.00891280727964145,0.1535746697589997
0.008929784055412195,0.1535746697589997
0.008946760831182942,0.1535746697589997
0.008963737606953688,0.15579308258545932
0.008980714382724433,0.15680145205203186
0.00899769115849518,0.15690228899868913
0.009014667934265924,0.1572047998386609
0.00903164471003667,0.15780982151860443
0.009048621485807415,0.1585156801452052
0.009065598261578161,0.15992739739840678
0.009082575037348906,0.16073409297166483
0.009099551813119652,0.16133911465160836
0.009116528588890399,0.1614399515982656
0.009133505364661143,0.1614399515982656
0.00915048214043189,0.16355752747806795
0.009167458916202634,0.16406171221135424
0.00918443569197338,0.16426338610466876
0.009201412467744126,0.16426338610466876
0.009218389243514872,0.164364223051326
0.009235366019285617,0.16446505999798325
0.009252342795056363,0.1650700816779268
0.00926931957082711,0.1659776141978421
0.009286296346597854,0.1661792880911566
0.0093032731223686,0.16708682061107188
0.009320249898139345,0.1672884945043864
0.009337226673910091,0.16769184229101544
0.009354203449680836,0.16940607038418876
0.009371180225451583,0.17192699405062015
0.009388157001222327,0.17212866794393467
0.009405133776993074,0.17253201573056368
0.009422110552763818,0.1731370374105072
0.009439087328534565,0.1736412221437935
0.009456064104305311,0.1740445699304225
0.009473040880076056,0.1751537763436523
0.009490017655846802,0.1760613088635676
0.009506994431617547,0.1760613088635676
0.009523971207388293,0.17686800443682565
0.009540947983159038,0.17706967833014017
0.009557924758929784,0.17848139558334172
0.009574901534700529,0.17848139558334172
0.009591878310471275,0.17848139558334172
0.009608855086242022,0.17878390642331352
0.009625831862012766,0.17908641726328528
0.009642808637783513,0.17928809115659977
0.009659785413554257,0.17959060199657154
0.009676762189325004,0.1796914389432288
0.009693738965095748,0.1805989714631441
0.009710715740866495,0.1805989714631441
0.00972769251663724,0.18090148230311587
0.009744669292407986,0.18090148230311587
0.009761646068178732,0.18201068871634568
0.009778622843949477,0.18231319955631745
0.009795599619720223,0.18271654734294646
0.009812576395490968,0.18402742764949076
0.009829553171261714,0.18432993848946255
0.009846529947032459,0.1848341232227488
0.009863506722803205,0.1853383079560351
0.00988048349857395,0.18896843803569627
0.009897460274344697,0.1891701119290108
0.009914437050115441,0.1895734597156398
0.009931413825886188,0.19038015528889785
0.009948390601656934,0.19108601391549865
0.009965367377427679,0.19199354643541394
0.009982344153198425,0.19259856811535747
